landscape;site;code;species;taxon
Ayos;NGUI001;Dcyc;Doryrhina cyclops;bat
Ayos;NGUI001;Hrub;Hipposideros ruber;bat
Ayos;NGUI001;Dcyc;Doryrhina cyclops;bat
Ayos;NGUI001;Ralc;Rhinolophus alcyone;bat
Ayos;NGUI001;Hrub;Hipposideros ruber;bat
Ayos;NGUI001;Dcyc;Doryrhina cyclops;bat
Ayos;NGUI002;Ralc;Rhinolophus alcyone;bat
Ayos;NGUI002;Ralc;Rhinolophus alcyone;bat
Ayos;NGUI002;Nycsp;Nycteris sp.;bat
Ayos;NGUI002;Hrub;Hipposideros ruber;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA003;Hrub;Hipposideros ruber;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Nycsp;Nycteris sp.;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Nycsp;Nycteris sp.;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Hrub;Hipposideros ruber;bat
Ayos;EBEK;Hrub;Hipposideros ruber;bat
Ayos;EBEK;Dcyc;Doryrhina cyclops;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EBEK;Dcyc;Doryrhina cyclops;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EBEK;Hrub;Hipposideros ruber;bat
Ayos;EBEK;Hrub;Hipposideros ruber;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EBEK;Nycsp;Nycteris sp.;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Hrub;Hipposideros ruber;bat
Ayos;EKOK;Hrub;Hipposideros ruber;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Bokito;BAKOA003;Dcyc;Doryrhina cyclops;bat
Bokito;BAKOA003;Nycsp;Nycteris sp.;bat
Bokito;BAKOA003;Ralc;Rhinolophus alcyone;bat
Bokito;BAKOA003;Rsim;Rhinolophus simulator;bat
Bokito;TOBAGN002;Nycsp;Nycteris sp.;bat
Bokito;TOBAGN002;Rsim;Rhinolophus simulator;bat
Bokito;TOBAGN002;Nycsp;Nycteris sp.;bat
Bokito;TOBAGN002;Hrub;Hipposideros ruber;bat
Bokito;TOBAGN002;Hful;Hipposideros fuliginosus;bat
Bokito;TOBAGN002;Hrub;Hipposideros ruber;bat
Bokito;TOBAGN002;Hrub;Hipposideros ruber;bat
Konye;KOKO002;Hrub;Hipposideros ruber;bat
Konye;KOKO002;Ralc;Rhinolophus alcyone;bat
Konye;KOKO002;Ralc;Rhinolophus alcyone;bat
Konye;KOKO002;Hrub;Hipposideros ruber;bat
Konye;DIKO001;Hrub;Hipposideros ruber;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Hrub;Hipposideros ruber;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Hrub;Hipposideros ruber;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Hrub;Hipposideros ruber;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Hful;Hipposideros fuliginosus;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;BADU003;Ralc;Rhinolophus alcyone;bat
Konye;BADU003;Nycsp;Nycteris sp.;bat
Konye;BADU003;Dcyc;Doryrhina cyclops;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;BADU005;Hrub;Hipposideros ruber;bat
Konye;BADU005;Hful;Hipposideros fuliginosus;bat
Konye;BADU005;Nycsp;Nycteris sp.;bat
Konye;BADU005;Hrub;Hipposideros ruber;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;DIONG001;Ralc;Rhinolophus alcyone;bat
Konye;DIONG001;Dcyc;Doryrhina cyclops;bat
Konye;DIONG001;Ralc;Rhinolophus alcyone;bat
Konye;DIONG001;Dcyc;Doryrhina cyclops;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hful;Hipposideros fuliginosus;bat
Konye;DIONG001;Ralc;Rhinolophus alcyone;bat
Konye;DIONG001;Dcyc;Doryrhina cyclops;bat
Konye;DIONG001;Ralc;Rhinolophus alcyone;bat
Konye;DIONG003;Ralc;Rhinolophus alcyone;bat
Konye;DIONG003;Ralc;Rhinolophus alcyone;bat
Konye;DIONG003;Ralc;Rhinolophus alcyone;bat
Konye;DIONG003;Hrub;Hipposideros ruber;bat
Konye;DIONG002;Ralc;Rhinolophus alcyone;bat
Konye;DIONG002;Hrub;Hipposideros ruber;bat
Konye;DIONG002;Ralc;Rhinolophus alcyone;bat
Konye;DIONG002;Hrub;Hipposideros ruber;bat
Konye;DIONG002;Ralc;Rhinolophus alcyone;bat
Konye;DIONG002;Ralc;Rhinolophus alcyone;bat
Konye;DIONG002;Ralc;Rhinolophus alcyone;bat
Konye;DIONG002;Dcyc;Doryrhina cyclops;bat
Konye;KOKO002;Hrub;Hipposideros ruber;bat
Ayos;NGUI002;Dcyc;Doryrhina cyclops;bat
Ayos;NGUI002;Hful;Hipposideros fuliginosus;bat
Ayos;NGUI002;Hful;Hipposideros fuliginosus;bat
Ayos;NGUI002;Hful;Hipposideros fuliginosus;bat
Ayos;NGUI002;Nycsp;Nycteris sp.;bat
Ayos;NGUI002;Nycsp;Nycteris sp.;bat
Ayos;NGUI002;Hful;Hipposideros fuliginosus;bat
Ayos;NGUI002;Hful;Hipposideros fuliginosus;bat
Ayos;NGUI002;Hful;Hipposideros fuliginosus;bat
Ayos;NGUI002;Nycsp;Nycteris sp.;bat
Ayos;NGUI002;Nycsp;Nycteris sp.;bat
Ayos;NGUI002;Nycsp;Nycteris sp.;bat
Ayos;NGUI002;Nycsp;Nycteris sp.;bat
Ayos;NGUI001;Hrub;Hipposideros ruber;bat
Ayos;NGUI001;Hrub;Hipposideros ruber;bat
Ayos;NGUI001;Hful;Hipposideros fuliginosus;bat
Ayos;NGUI001;Hful;Hipposideros fuliginosus;bat
Ayos;NGUI001;Hful;Hipposideros fuliginosus;bat
Ayos;NGUI001;Hrub;Hipposideros ruber;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EBEK;Hrub;Hipposideros ruber;bat
Ayos;EBEK;Hful;Hipposideros fuliginosus;bat
Ayos;EBEK;Hful;Hipposideros fuliginosus;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EBEK;Hful;Hipposideros fuliginosus;bat
Ayos;EBEK;Hful;Hipposideros fuliginosus;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EBEK;Dcyc;Doryrhina cyclops;bat
Ayos;EBEK;Hful;Hipposideros fuliginosus;bat
Ayos;EBEK;Hful;Hipposideros fuliginosus;bat
Ayos;EBEK;Hful;Hipposideros fuliginosus;bat
Ayos;EBEK;Hrub;Hipposideros ruber;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EBEK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Ayos;EKOK;Hrub;Hipposideros ruber;bat
Ayos;EKOK;Hrub;Hipposideros ruber;bat
Ayos;EKOK;Hrub;Hipposideros ruber;bat
Ayos;EKOK;Dcyc;Doryrhina cyclops;bat
Ayos;EKOK;Hrub;Hipposideros ruber;bat
Ayos;EKOK;Hful;Hipposideros fuliginosus;bat
Ayos;EKOK;Hrub;Hipposideros ruber;bat
Ayos;EKOK;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Ralc;Rhinolophus alcyone;bat
Ayos;EBA001;Hrub;Hipposideros ruber;bat
Ayos;EBA001;Nycsp;Nycteris sp.;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA003;Hrub;Hipposideros ruber;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Ayos;EBA003;Ralc;Rhinolophus alcyone;bat
Bokito;BAKOA003;Dcyc;Doryrhina cyclops;bat
Bokito;BAKOA003;Nycsp;Nycteris sp.;bat
Bokito;TOBAGN002;Hful;Hipposideros fuliginosus;bat
Bokito;TOBAGN002;Hful;Hipposideros fuliginosus;bat
Bokito;TOBAGN002;Hful;Hipposideros fuliginosus;bat
Bokito;TOBAGN002;Dcyc;Doryrhina cyclops;bat
Bokito;TOBAGN002;Hful;Hipposideros fuliginosus;bat
Bokito;TOBAGN002;Hrub;Hipposideros ruber;bat
Bokito;TOBAGN002;Nycsp;Nycteris sp.;bat
Bokito;TOBAGN002;Ralc;Rhinolophus alcyone;bat
Konye;BADU003;Ralc;Rhinolophus alcyone;bat
Konye;BADU003;Hful;Hipposideros fuliginosus;bat
Konye;BADU003;Nycsp;Nycteris sp.;bat
Konye;BADU003;Dcyc;Doryrhina cyclops;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;BADU005;Dcyc;Doryrhina cyclops;bat
Konye;BADU005;Dcyc;Doryrhina cyclops;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;BADU005;Hful;Hipposideros fuliginosus;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;BADU005;Hrub;Hipposideros ruber;bat
Konye;BADU005;Ralc;Rhinolophus alcyone;bat
Konye;BADU005;Dcyc;Doryrhina cyclops;bat
Konye;DIONG003;Ralc;Rhinolophus alcyone;bat
Konye;DIONG002;Hrub;Hipposideros ruber;bat
Konye;DIONG002;Hrub;Hipposideros ruber;bat
Konye;DIONG002;Hrub;Hipposideros ruber;bat
Konye;DIONG002;Ralc;Rhinolophus alcyone;bat
Konye;DIONG002;Hrub;Hipposideros ruber;bat
Konye;DIONG002;Hrub;Hipposideros ruber;bat
Konye;DIONG002;Hrub;Hipposideros ruber;bat
Konye;DIONG002;Ralc;Rhinolophus alcyone;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hful;Hipposideros fuliginosus;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Hrub;Hipposideros ruber;bat
Konye;DIONG001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Hful;Hipposideros fuliginosus;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Hrub;Hipposideros ruber;bat
Konye;KOKO001;Nycsp;Nycteris sp.;bat
Konye;KOKO001;Hful;Hipposideros fuliginosus;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;KOKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Nycsp;Nycteris sp.;bat
Konye;DIKO001;Ralc;Rhinolophus alcyone;bat
Konye;DIKO001;Hrub;Hipposideros ruber;bat
Konye;DIKO001;Hrub;Hipposideros ruber;bat
Konye;DIKO001;Hrub;Hipposideros ruber;bat
Konye;DIKO001;Hrub;Hipposideros ruber;bat
Konye;KOKO002;Ralc;Rhinolophus alcyone;bat
Konye;KOKO002;Hrub;Hipposideros ruber;bat
Konye;KOKO002;Ralc;Rhinolophus alcyone;bat
Konye;KOKO002;Hful;Hipposideros fuliginosus;bat
Konye;KOKO002;Hrub;Hipposideros ruber;bat
Konye;KOKO002;Dcyc;Doryrhina cyclops;bat
Konye;KOKO002;Hrub;Hipposideros ruber;bat
Konye;KOKO002;Hrub;Hipposideros ruber;bat
Konye;KOKO002;Ralc;Rhinolophus alcyone;bat
Konye;KOKO002;Hrub;Hipposideros ruber;bat
Konye;KOKO002;Hrub;Hipposideros ruber;bat
Konye;KOKO002;Nycsp;Nycteris sp.;bat
Konye;KOKO002;Ralc;Rhinolophus alcyone;bat
Ayos;NGUI001;Hpra;Hylia prasina;bird
Ayos;NGUI001;Tersp;Terpsiphone sp;bird
Ayos;NGUI001;Hpra;Hylia prasina;bird
Ayos;NGUI001;Tersp;Terpsiphone sp;bird
Ayos;EBA001;Dcas;Dyaphorophyia castanea;bird
Ayos;EBA001;Hpra;Hylia prasina;bird
Ayos;EBA001;Tersp;Terpsiphone sp;bird
Ayos;EBA001;Dcas;Dyaphorophyia castanea;bird
Ayos;EBA001;Dcas;Dyaphorophyia castanea;bird
Ayos;EBA001;Cbra;Camaroptera brachyura;bird
Ayos;EBA001;Dcas;Dyaphorophyia castanea;bird
Ayos;EBA001;Dcas;Dyaphorophyia castanea;bird
Ayos;EBA001;Dcas;Dyaphorophyia castanea;bird
Ayos;EBA001;Hpra;Hylia prasina;bird
Ayos;EBA001;Cbra;Camaroptera brachyura;bird
Ayos;EBA001;Cbra;Camaroptera brachyura;bird
Ayos;EBA003;Hpra;Hylia prasina;bird
Ayos;EBA003;Hpra;Hylia prasina;bird
Ayos;EBEK;Tersp;Terpsiphone sp;bird
Ayos;EBEK;Dcas;Dyaphorophyia castanea;bird
Ayos;EBEK;Tersp;Terpsiphone sp;bird
Ayos;EBEK;Tersp;Terpsiphone sp;bird
Ayos;EKOK;Hpra;Hylia prasina;bird
Ayos;EKOK;Tersp;Terpsiphone sp;bird
Bokito;TOBAGN002;Cbra;Camaroptera brachyura;bird
Bokito;TOBAGN002;Cbra;Camaroptera brachyura;bird
Bokito;BAKOA003;Tersp;Terpsiphone sp;bird
Bokito;BAKOA003;Dcas;Dyaphorophyia castanea;bird
Bokito;BAKOA003;Tersp;Terpsiphone sp;bird
Bokito;BAKOA003;Dcas;Dyaphorophyia castanea;bird
Konye;DIKO001;Hpra;Hylia prasina;bird
Konye;DIKO001;Hpra;Hylia prasina;bird
Konye;DIKO001;Hpra;Hylia prasina;bird
Konye;DIKO001;Tersp;Terpsiphone sp;bird
Konye;DIKO001;Tersp;Terpsiphone sp;bird
Konye;DIKO001;Cbra;Camaroptera brachyura;bird
Konye;DIKO001;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO001;Cbra;Camaroptera brachyura;bird
Konye;KOKO001;Cbra;Camaroptera brachyura;bird
Konye;KOKO001;Cbra;Camaroptera brachyura;bird
Konye;KOKO001;Hpra;Hylia prasina;bird
Konye;KOKO001;Cbra;Camaroptera brachyura;bird
Konye;KOKO001;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO001;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO001;Tersp;Terpsiphone sp;bird
Konye;KOKO001;Hpra;Hylia prasina;bird
Konye;KOKO001;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO001;Hpra;Hylia prasina;bird
Konye;KOKO002;Tersp;Terpsiphone sp;bird
Konye;KOKO002;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO002;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO002;Hpra;Hylia prasina;bird
Konye;KOKO002;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO002;Hpra;Hylia prasina;bird
Konye;KOKO002;Hpra;Hylia prasina;bird
Konye;KOKO002;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO002;Hpra;Hylia prasina;bird
Konye;BADU005;Hpra;Hylia prasina;bird
Konye;BADU005;Dcas;Dyaphorophyia castanea;bird
Konye;BADU005;Cbra;Camaroptera brachyura;bird
Konye;BADU005;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG003;Hpra;Hylia prasina;bird
Konye;DIONG003;Tersp;Terpsiphone sp;bird
Konye;DIONG003;Tersp;Terpsiphone sp;bird
Konye;DIONG003;Cbra;Camaroptera brachyura;bird
Konye;DIONG003;Hpra;Hylia prasina;bird
Konye;DIONG003;Cbra;Camaroptera brachyura;bird
Konye;DIONG003;Tersp;Terpsiphone sp;bird
Konye;DIONG003;Cbra;Camaroptera brachyura;bird
Konye;DIONG003;Hpra;Hylia prasina;bird
Konye;DIONG003;Cbra;Camaroptera brachyura;bird
Konye;BADU003;Tersp;Terpsiphone sp;bird
Konye;BADU003;Dcas;Dyaphorophyia castanea;bird
Konye;BADU003;Hpra;Hylia prasina;bird
Konye;DIONG002;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG002;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG002;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG002;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG002;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG001;Cbra;Camaroptera brachyura;bird
Konye;DIONG001;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG001;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG001;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG001;Tersp;Terpsiphone sp;bird
Konye;DIONG001;Dcas;Dyaphorophyia castanea;bird
Ayos;NGUI001;Dcas;Dyaphorophyia castanea;bird
Ayos;NGUI001;Tersp;Terpsiphone sp;bird
Ayos;NGUI001;Tersp;Terpsiphone sp;bird
Ayos;NGUI001;Tersp;Terpsiphone sp;bird
Ayos;NGUI001;Dcas;Dyaphorophyia castanea;bird
Ayos;NGUI001;Dcas;Dyaphorophyia castanea;bird
Ayos;NGUI001;Tersp;Terpsiphone sp;bird
Ayos;NGUI001;Tersp;Terpsiphone sp;bird
Ayos;NGUI002;Dcas;Dyaphorophyia castanea;bird
Ayos;EBEK;Dcas;Dyaphorophyia castanea;bird
Ayos;EKOK;Dcas;Dyaphorophyia castanea;bird
Ayos;EKOK;Dcas;Dyaphorophyia castanea;bird
Ayos;EBA001;Hpra;Hylia prasina;bird
Ayos;EBA003;Hpra;Hylia prasina;bird
Ayos;EBA003;Dcas;Dyaphorophyia castanea;bird
Ayos;EBA003;Dcas;Dyaphorophyia castanea;bird
Ayos;EBA003;Dcas;Dyaphorophyia castanea;bird
Bokito;TOBAGN002;Tersp;Terpsiphone sp;bird
Bokito;TOBAGN002;Tersp;Terpsiphone sp;bird
Bokito;TOBAGN002;Dcas;Dyaphorophyia castanea;bird
Bokito;TOBAGN002;Hpra;Hylia prasina;bird
Bokito;BAKOA003;Tersp;Terpsiphone sp;bird
Bokito;BAKOA003;Tersp;Terpsiphone sp;bird
Bokito;BAKOA003;Dcas;Dyaphorophyia castanea;bird
Bokito;BAKOA003;Dcas;Dyaphorophyia castanea;bird
Konye;BADU005;Dcas;Dyaphorophyia castanea;bird
Konye;BADU005;Cbra;Camaroptera brachyura;bird
Konye;BADU005;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG003;Tersp;Terpsiphone sp;bird
Konye;DIONG003;Cbra;Camaroptera brachyura;bird
Konye;DIONG003;Cniv;Campethera nivosa;bird
Konye;DIONG003;Tersp;Terpsiphone sp;bird
Konye;DIONG003;Tersp;Terpsiphone sp;bird
Konye;BADU003;Hpra;Hylia prasina;bird
Konye;BADU003;Hpra;Hylia prasina;bird
Konye;BADU003;Dcas;Dyaphorophyia castanea;bird
Konye;BADU003;Dcas;Dyaphorophyia castanea;bird
Konye;BADU003;Dcas;Dyaphorophyia castanea;bird
Konye;BADU003;Dcas;Dyaphorophyia castanea;bird
Konye;BADU003;Dcas;Dyaphorophyia castanea;bird
Konye;BADU003;Hpra;Hylia prasina;bird
Konye;DIONG002;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG002;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG002;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG002;Hpra;Hylia prasina;bird
Konye;DIONG002;Tersp;Terpsiphone sp;bird
Konye;DIONG002;Dcas;Dyaphorophyia castanea;bird
Konye;DIONG002;Tersp;Terpsiphone sp;bird
Konye;DIKO001;Dcas;Dyaphorophyia castanea;bird
Konye;DIKO001;Dcas;Dyaphorophyia castanea;bird
Konye;DIKO001;Dcas;Dyaphorophyia castanea;bird
Konye;DIKO001;Hpra;Hylia prasina;bird
Konye;DIKO001;Dcas;Dyaphorophyia castanea;bird
Konye;DIKO001;Hpra;Hylia prasina;bird
Konye;KOKO002;Tersp;Terpsiphone sp;bird
Konye;KOKO002;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO002;Tersp;Terpsiphone sp;bird
Konye;KOKO002;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO002;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO001;Dcas;Dyaphorophyia castanea;bird
Konye;KOKO001;Hpra;Hylia prasina;bird
Konye;KOKO001;Cbra;Camaroptera brachyura;bird
