"","Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL"
"1","Ayos","Species richness",525,2861.09102248833,335.632244472875,2203.26391127115,3518.91813370551
"2","Ayos","Shannon diversity",495.44110876919,2643.74365344623,262.630999514669,2128.99635317372,3158.49095371874
"3","Ayos","Simpson diversity",449.443883984871,1815.3674011423,209.977939098521,1403.81820296125,2226.91659932334
"4","Bokito","Species richness",382,1389.15271867612,148.779245977657,1097.55075491289,1680.75468243936
"5","Bokito","Shannon diversity",342.782481725803,1128.49447523577,94.7746215378188,942.739630373228,1314.24932009831
"6","Bokito","Simpson diversity",295.566948130278,732.125733622845,64.2241330660256,606.248745875127,858.002721370563
"7","Konye","Species richness",513,2207.57439525331,185.833178513788,1843.34805823368,2571.80073227293
"8","Konye","Shannon diversity",467.755968777863,1874.35290246826,134.607037839919,1610.5279562364,2138.17784870012
"9","Konye","Simpson diversity",403.995876288657,1137.35463755582,106.662071288048,928.300819314798,1346.40845579683
