"metric";"network";"value";"zscore"
"generality.HL";"Ayos";39,0630344545664;-0,467473087742418
"generality.HL";"Bokito";27,9571640568981;-5,46003028052779
"generality.HL";"Konye";27,0644361371772;-2,82793887809254
"vulnerability.LL";"Ayos";1,27567014632481;-0,203128777763867
"vulnerability.LL";"Bokito";1,29400645179864;-6,46836136090828
"vulnerability.LL";"Konye";1,51348977780777;-2,95415367971607
"interaction evenness";"Ayos";0,737073485267644;-0,548418196445599
"interaction evenness";"Bokito";0,721538017006511;-7,82244705721761
"interaction evenness";"Konye";0,724199440385597;-3,3678526000445
"H2";"Ayos";0,288449973887348;0,548418196445564
"H2";"Bokito";0,646258352012724;7,8224470572176
"H2";"Konye";0,385532444931583;3,36785260004451
"Modularity";"Ayos";0,684164359529618;0,611628481818817
"Modularity";"Bokito";0,459342221350848;7,77795659817
"Modularity";"Konye";0,631160076152431;3,3235683972618
